Date,Day,Time,TriplePointw,SprtTemperature,ReferenceTemperature,SprtOhms
2025-02-01,Saturday,08:00:00,0.0,0.00021102,-0.0017643,1000.0
2025-02-01,Saturday,08:06:00,0.0,-0.00336633,-0.0029244,999.987
2025-02-01,Saturday,08:10:00,0.0,-0.000643174,-0.0022504,999.998
2025-02-01,Saturday,08:12:00,0.0,0.00181282,-0.0012648,1000.01
2025-02-01,Saturday,08:12:00,0.0,0.000623185,0.003251,1000.0
2025-02-01,Saturday,08:14:00,0.0,0.00112108,0.0017974,1000.0
2025-02-01,Saturday,08:18:00,0.0,0.00384973,0.0019676,1000.01
2025-02-01,Saturday,08:18:00,0.0,0.00383068,-0.00072868,1000.01
2025-02-01,Saturday,08:18:00,0.0,0.00295303,0.002536,1000.01
2025-02-01,Saturday,08:18:00,0.0,-0.00150274,0.0032952,999.994
2025-02-01,Saturday,08:20:00,0.0,0.000535494,-0.0020945,1000.0
2025-02-01,Saturday,08:22:00,0.0,-0.00420445,-0.00019022,999.984
2025-02-01,Saturday,08:22:00,0.0,0.00450176,-0.0018191,1000.02
2025-02-01,Saturday,08:24:00,0.0,0.000700483,0.0032349,1000.0
2025-02-01,Saturday,08:24:00,0.0,-0.00246321,-0.0020018,999.991
2025-02-01,Saturday,08:24:00,0.0,0.00486632,-0.0012963,1000.02
2025-02-01,Saturday,08:24:00,0.0,-0.000894892,-0.0030835,999.997
2025-02-01,Saturday,08:26:00,0.0,0.000389994,-0.0055766,1000.0
2025-02-01,Saturday,08:26:00,0.0,0.00418209,0.0037565,1000.02
2025-02-01,Saturday,08:30:00,0.0,-0.00037011,0.0028482,999.999
2025-02-01,Saturday,08:30:00,0.0,-0.000490877,0.0002798,999.998
2025-02-01,Saturday,08:34:00,0.0,0.00113927,-0.0010205,1000.0
2025-02-01,Saturday,08:36:00,0.0,1.47649e-05,-0.00013178,1000.0
2025-02-01,Saturday,08:40:00,0.0,0.00192821,-0.0032394,1000.01
